"","Country","Locality","Site","Strata","Brachidontes","Ulva prolifera","Siphonaria lessonii","Balanus glandula","Mytilus platensis","Ulva","Cladophora","Corallina officinalis","Polysiphonia","Corallinophycidae","Polychaeta","Scytosiphon","Tegula patagonica","Porifera","Trophon geversianus","Phaeophyceae","Cyrtograpsus altimanus","Bryopsis australis","Ralfsia","Exosphaeroma","Ceramium","Leiosolenus patagonicus","Parabunodactis imperfecta","Aulacomya atra","Epitonium fabrizioi","Dictyota dichotoma","Diadumene","Undaria pinnatifida","Plaxiphora (Plaxiphora) aurata","Leathesia","Fissurella radiosa tixierae","Codium","Eulalia clavigera"
"1","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","hightide",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","hightide",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","hightide",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","hightide",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","hightide",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","hightide",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","hightide",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","hightide",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","hightide",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","hightide",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","lowtide",0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","lowtide",0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","lowtide",0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","lowtide",0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","lowtide",0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","lowtide",0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","lowtide",0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","lowtide",0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","lowtide",0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","lowtide",0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","midtide",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","midtide",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","midtide",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","midtide",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","midtide",1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","midtide",1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","midtide",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","midtide",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","midtide",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","midtide",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","ARGENTINA","PUERTOMADRYN","PUNTAESTE","hightide",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","ARGENTINA","PUERTOMADRYN","PUNTAESTE","hightide",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","ARGENTINA","PUERTOMADRYN","PUNTAESTE","hightide",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","ARGENTINA","PUERTOMADRYN","PUNTAESTE","hightide",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","ARGENTINA","PUERTOMADRYN","PUNTAESTE","hightide",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","ARGENTINA","PUERTOMADRYN","PUNTAESTE","hightide",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","ARGENTINA","PUERTOMADRYN","PUNTAESTE","hightide",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","ARGENTINA","PUERTOMADRYN","PUNTAESTE","hightide",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","ARGENTINA","PUERTOMADRYN","PUNTAESTE","hightide",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","ARGENTINA","PUERTOMADRYN","PUNTAESTE","hightide",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","ARGENTINA","PUERTOMADRYN","PUNTAESTE","lowtide",1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"42","ARGENTINA","PUERTOMADRYN","PUNTAESTE","lowtide",1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"43","ARGENTINA","PUERTOMADRYN","PUNTAESTE","lowtide",0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0
"44","ARGENTINA","PUERTOMADRYN","PUNTAESTE","lowtide",0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0
"45","ARGENTINA","PUERTOMADRYN","PUNTAESTE","lowtide",1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
"46","ARGENTINA","PUERTOMADRYN","PUNTAESTE","lowtide",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
"47","ARGENTINA","PUERTOMADRYN","PUNTAESTE","lowtide",1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0
"48","ARGENTINA","PUERTOMADRYN","PUNTAESTE","lowtide",0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0
"49","ARGENTINA","PUERTOMADRYN","PUNTAESTE","lowtide",0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0
"50","ARGENTINA","PUERTOMADRYN","PUNTAESTE","lowtide",0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0
"51","ARGENTINA","PUERTOMADRYN","PUNTAESTE","midtide",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","ARGENTINA","PUERTOMADRYN","PUNTAESTE","midtide",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","ARGENTINA","PUERTOMADRYN","PUNTAESTE","midtide",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","ARGENTINA","PUERTOMADRYN","PUNTAESTE","midtide",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","ARGENTINA","PUERTOMADRYN","PUNTAESTE","midtide",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","ARGENTINA","PUERTOMADRYN","PUNTAESTE","midtide",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","ARGENTINA","PUERTOMADRYN","PUNTAESTE","midtide",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","ARGENTINA","PUERTOMADRYN","PUNTAESTE","midtide",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","ARGENTINA","PUERTOMADRYN","PUNTAESTE","midtide",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","ARGENTINA","PUERTOMADRYN","PUNTAESTE","midtide",1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","ARGENTINA","PUERTOMADRYN","PUNTALOMA","hightide",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"62","ARGENTINA","PUERTOMADRYN","PUNTALOMA","hightide",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","ARGENTINA","PUERTOMADRYN","PUNTALOMA","hightide",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","ARGENTINA","PUERTOMADRYN","PUNTALOMA","hightide",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","ARGENTINA","PUERTOMADRYN","PUNTALOMA","hightide",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","ARGENTINA","PUERTOMADRYN","PUNTALOMA","hightide",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","ARGENTINA","PUERTOMADRYN","PUNTALOMA","hightide",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","ARGENTINA","PUERTOMADRYN","PUNTALOMA","hightide",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","ARGENTINA","PUERTOMADRYN","PUNTALOMA","hightide",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","ARGENTINA","PUERTOMADRYN","PUNTALOMA","hightide",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","ARGENTINA","PUERTOMADRYN","PUNTALOMA","lowtide",0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0
"72","ARGENTINA","PUERTOMADRYN","PUNTALOMA","lowtide",0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0
"73","ARGENTINA","PUERTOMADRYN","PUNTALOMA","lowtide",1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"74","ARGENTINA","PUERTOMADRYN","PUNTALOMA","lowtide",0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"75","ARGENTINA","PUERTOMADRYN","PUNTALOMA","lowtide",0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
"76","ARGENTINA","PUERTOMADRYN","PUNTALOMA","lowtide",0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
"77","ARGENTINA","PUERTOMADRYN","PUNTALOMA","lowtide",0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
"78","ARGENTINA","PUERTOMADRYN","PUNTALOMA","lowtide",0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"79","ARGENTINA","PUERTOMADRYN","PUNTALOMA","lowtide",0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
"80","ARGENTINA","PUERTOMADRYN","PUNTALOMA","lowtide",0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0
"81","ARGENTINA","PUERTOMADRYN","PUNTALOMA","midtide",1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"82","ARGENTINA","PUERTOMADRYN","PUNTALOMA","midtide",1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","ARGENTINA","PUERTOMADRYN","PUNTALOMA","midtide",1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","ARGENTINA","PUERTOMADRYN","PUNTALOMA","midtide",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","ARGENTINA","PUERTOMADRYN","PUNTALOMA","midtide",1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","ARGENTINA","PUERTOMADRYN","PUNTALOMA","midtide",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","ARGENTINA","PUERTOMADRYN","PUNTALOMA","midtide",1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","ARGENTINA","PUERTOMADRYN","PUNTALOMA","midtide",1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","ARGENTINA","PUERTOMADRYN","PUNTALOMA","midtide",1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","ARGENTINA","PUERTOMADRYN","PUNTALOMA","midtide",1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
