Country,Locality,Site,Strata,Ceramiaceae,Cladophora,Colpomenia.sinuosa,Dictyosphaeria.cavernosa,Bryopsis,Echinolittorina.miliaris,Fissurella.mesoatlantica,Galaxaura.rugosa,Jania,Lithophyllum,Mytilaster.solisianus,Padina.gymnospora,Peyssonnelia,Siderastrea.stellata,Amphiroa,Ceramium,Gelidiella.acerosa,Gracilaria,Grapsus.grapsus,Palisada.perforata,Cyanophyceae,Ulva.lactuca,Bryopsis.pennata,Palythoa.variabilis,Petaloconchus.varians,Lottia.noronhensis,Anemonia.sargassensis,Euherdmaniidae,Zoanthus.sociatus,Nerita.ascensionis,Chondrilla.nucula,Caulerpa.racemosa
Brazil,Fernando de Noronha,AirFrance,hightide,,,,,,8,,,,,0,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,hightide,,,,,,6,,,,,14,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,hightide,,,,,,2,,,,,9,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,hightide,,,,,,5,,,,,20,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,hightide,,,,,,5,,,,,21,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,hightide,,,,,0,,,,,,11,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,hightide,,1,,,43,,,,,,12,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,hightide,,,,,,,1,,,,23,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,hightide,,,,,2,,,,,,30,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,hightide,,,,,,5,,,,,2,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,midtide,,,,,44,,,,,,8,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,midtide,,,,,46,,,,4,,12,,,2,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,midtide,,,,,36,,,,8,,11,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,midtide,,,,,87,,,,13,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,midtide,,,,,16,,,,2,4,6,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,midtide,,,,,63,9,,,,,8,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,midtide,,,,,80,,,,,,9,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,midtide,,,,,72,,,,4,1,4,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,midtide,,,,,85,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,midtide,,,,,95,,,,,0,5,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,lowtide,,,,0,97,,,,3,,,0,0,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,lowtide,,,,0,92,,,,7,1,,0,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,lowtide,0,,0,1,46,,,,4,1,7,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,lowtide,11,,,,60,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,lowtide,13,0,,,65,,,,8,8,,0,0,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,lowtide,9,0,,,72,,,5,5,1,,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,lowtide,4,,,,78,,,,,,3,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,lowtide,3,,,0,95,,,2,,0,,,,0,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,lowtide,5,4,,,87,,,,3,,1,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,lowtide,2,0,,0,94,,,,3,,,0,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,hightide,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,hightide,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,hightide,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,hightide,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,hightide,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,hightide,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,hightide,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,hightide,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,hightide,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,hightide,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,midtide,,,,,,,,,,,29,,,,,1,,,1,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,midtide,,3,,,,,,,,,58,,,,,,,0,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,midtide,,4,,,,,,,,0,23,,,,,11,,,,,0,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,midtide,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,midtide,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,midtide,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,midtide,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,midtide,,,,,,,,,,,22,,,,,,,,,,0,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,midtide,,,,,,,,,,,25,,,,,0,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,midtide,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,lowtide,,,,,,,,,,10,,,,,,60,0,,,21,9,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,lowtide,,,,0,,,,,,18,0,,,,0,43,0,,,11,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,lowtide,,,,,,,,1,11,4,4,,,,,59,,,,12,9,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,lowtide,,0,,,,,,,,7,12,,,,,49,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,lowtide,,,,,,,,,,,31,,,,,51,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,lowtide,,0,,,,,,,,,14,,,,,65,,0,,,0,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,lowtide,,3,,,,,,,,0,16,,,,,74,,0,,,,3,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,lowtide,,,,,,,,,,,11,,,,,81,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,lowtide,,6,,,,,,,,10,,,,,,10,,,,8,0,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,lowtide,,,,,,,,,,11,39,,,,,3,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Caieiras,hightide,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
Brazil,Fernando de Noronha,Caieiras,hightide,,,,,,1,,,,,2,,,,,,,,,,,,28,,3,,,,,,,
Brazil,Fernando de Noronha,Caieiras,hightide,,,,,,,,,,,0,,,,,,,,,,,,16,,,,,,,,,
Brazil,Fernando de Noronha,Caieiras,hightide,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,
Brazil,Fernando de Noronha,Caieiras,hightide,,,,,,,,,,,,,,,,,,,,,,,86,,0,,,,,,,
Brazil,Fernando de Noronha,Caieiras,hightide,,,,,,,,,,,,,,,,,,,,,,,12,,6,,,,,,,
Brazil,Fernando de Noronha,Caieiras,hightide,,,,,,,,,,,,,,,,,,,,,,,10,,9,,,,,,,
Brazil,Fernando de Noronha,Caieiras,hightide,,,,,,,,,,,,,,,,,,,,,,,25,,0,,,,,,,
Brazil,Fernando de Noronha,Caieiras,hightide,,,,,,,,,,,0,,,,,,,,,,,,24,,0,1,,,,,,
Brazil,Fernando de Noronha,Caieiras,hightide,,,,,,1,,,,,0,,,,,,,,,,,,79,,8,,,,,,,
Brazil,Fernando de Noronha,Caieiras,midtide,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
Brazil,Fernando de Noronha,Caieiras,midtide,,,,,,,,,,,,,,,,,,,,,,,25,0,,,,,,,,
Brazil,Fernando de Noronha,Caieiras,midtide,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,
Brazil,Fernando de Noronha,Caieiras,midtide,,,,,,,,,,,0,,,1,0,,8,,,1,,,35,0,0,,,0,,,,
Brazil,Fernando de Noronha,Caieiras,midtide,,,,,,,,,,0,,,,,,,,,,,,,28,0,,,,,,,,
Brazil,Fernando de Noronha,Caieiras,midtide,,,,,,,,,,,0,,,,,,,,,,,,34,,2,,,,,,,
Brazil,Fernando de Noronha,Caieiras,midtide,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Caieiras,midtide,,,,,,,,,,0,,,,,,,4,,,,14,,67,10,5,,,,,,,
Brazil,Fernando de Noronha,Caieiras,midtide,,,,,,,,,,,0,,,,,,,,,,,,16,,,,,,,,,
Brazil,Fernando de Noronha,Caieiras,midtide,,,,,,,,,,,,,,,,,6,,,0,,,36,0,,,,,,,,
Brazil,Fernando de Noronha,Caieiras,lowtide,,0,,,,,,,,0,,,,,,,1,3,,24,,,72,0,,,,,,,,
Brazil,Fernando de Noronha,Caieiras,lowtide,,12,,0,,,,,,0,,,,,0,,,0,,32,,,55,,1,,,,,,,
Brazil,Fernando de Noronha,Caieiras,lowtide,,5,,0,,,,,,0,,,,,0,,,,,93,2,,,0,0,,,,,,,
Brazil,Fernando de Noronha,Caieiras,lowtide,,,,0,,,,,,0,,,,,,,,,,85,,,15,0,,,,,,,,
Brazil,Fernando de Noronha,Caieiras,lowtide,,14,,,,,,,,0,,,,,,,,,,76,,,8,,2,,,,,,,
Brazil,Fernando de Noronha,Caieiras,lowtide,,,,,,,,,,0,,,,,,,,,,77,,,11,,12,,,,,,,
Brazil,Fernando de Noronha,Caieiras,lowtide,,13,,0,,,,,,1,,,,,,,,,,86,,,,,0,,,,0,,,
Brazil,Fernando de Noronha,Caieiras,lowtide,,,,,,,,,,,,,,,,,17,,,0,,,79,,0,,,,,,,
Brazil,Fernando de Noronha,Caieiras,lowtide,,0,,,,,,,,1,,,,,,,14,,,,,,85,,,,,,,,,
Brazil,Fernando de Noronha,Caieiras,lowtide,,,,4,,,,,,1,,,,0,0,,,,,,,,84,,11,,0,,,,,
Brazil,Fernando de Noronha,Leao,hightide,,,,,,,,,,7,,,,,,,,,,,,,,,0,,,,0,1,,
Brazil,Fernando de Noronha,Leao,hightide,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,1,,
Brazil,Fernando de Noronha,Leao,hightide,,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,2,,
Brazil,Fernando de Noronha,Leao,hightide,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,1,,
Brazil,Fernando de Noronha,Leao,hightide,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,3,,
Brazil,Fernando de Noronha,Leao,hightide,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,4,,
Brazil,Fernando de Noronha,Leao,hightide,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,
Brazil,Fernando de Noronha,Leao,hightide,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,4,,
Brazil,Fernando de Noronha,Leao,hightide,,,,,,,,0,,2,,,,,,,,,,,,,,,,,,,,3,,
Brazil,Fernando de Noronha,Leao,hightide,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5,,
Brazil,Fernando de Noronha,Leao,midtide,,0,,0,,,,,,1,,,,,,,6,,,,,,93,,,,,,,,,
Brazil,Fernando de Noronha,Leao,midtide,,0,,,,,,,,6,,,,,,,0,,,,,,94,,0,,,,,,0,
Brazil,Fernando de Noronha,Leao,midtide,,,,0,,,,,,6,,,,,,,6,,,,,,85,,0,,,,3,,,
Brazil,Fernando de Noronha,Leao,midtide,,,,0,,,,,,2,,,,,,,4,,,,,,86,,,,,,8,,,
Brazil,Fernando de Noronha,Leao,midtide,,,,,,,,,,2,,,,,,,12,,,,,,84,,1,,,,1,,,
Brazil,Fernando de Noronha,Leao,midtide,,,,,,,,,,6,,,,,,,19,,,,,,75,,0,,,,,,,
Brazil,Fernando de Noronha,Leao,midtide,,,,,,,,,,10,,,,,,,14,,,,,,76,,0,,,,,,,
Brazil,Fernando de Noronha,Leao,midtide,,,,,,,,,,2,,,,,,,7,,,,,,87,,0,,,,1,,3,
Brazil,Fernando de Noronha,Leao,midtide,,,,,,,,,,26,,,,,,,3,,,,,,71,,0,,,,,,0,
Brazil,Fernando de Noronha,Leao,midtide,,,,,,,,,,2,,,,,,,0,,,,,,96,,0,,,,2,,0,
Brazil,Fernando de Noronha,Leao,lowtide,,,,,,,,,,0,,,,,,,,,,85,,,0,,15,,,,,,,
Brazil,Fernando de Noronha,Leao,lowtide,,,,0,,,,,,,,,,,,,,,,90,,,3,,5,,,,,,,2
Brazil,Fernando de Noronha,Leao,lowtide,,,,0,,,,,,6,,,,,,,,,,67,,,27,,0,,,,,,,
Brazil,Fernando de Noronha,Leao,lowtide,,,,0,,,1,,,3,,,,,,,,,,84,,,12,,,,,,,,,
Brazil,Fernando de Noronha,Leao,lowtide,,,,,,,,,,,,,,,,,,,,99,,,,,1,,,,,,,
Brazil,Fernando de Noronha,Leao,lowtide,,,,,,,,,,1,,,,,,,,,,99,,,,,0,,,,,,,
Brazil,Fernando de Noronha,Leao,lowtide,,,,,,,,,,,,,,,,,,,,100,,,,,0,,,,,,,
Brazil,Fernando de Noronha,Leao,lowtide,,,,,,,,,,,,,,,,,,,,96,,,,,4,,,,,,,
Brazil,Fernando de Noronha,Leao,lowtide,,,,,,,,,,1,,,,,,,,,,99,,,,,0,,,,,,,
Brazil,Fernando de Noronha,Leao,lowtide,,0,,,,,,,,0,,,,,,,,,,99,,,,,1,,,,,,,
