,Country,Locality,Site,Strata,Siphonaria lessonii,Scurria ceciliana,Pyropia,Ulva intestinalis,Nothogenia fastigiata,Ulva,Adenocystis utricularis,Notochthamalus scabrosus,Bunodactis octoradiata,Caepidium antarcticum,Protomonostroma undulatum,Lithophyllum rugosum,Corallina officinalis,Nacella magellanica,Balanus,Colpomenia sinuosa,Fissurella picta,Pseudechinus magellanicus,Mytilus chilensis,Nacella deaurata,Porphyra,Fissurella nigra,Tonicia lebruni,Perumytilus purpuratus,Scytosiphon lomentaria,Iridaea tuberculosa,Ceramium involutum,Bostrychia scorpioides
1,CHILE,PUNTAARENAS,PUERTODEHAMBRE,hightide,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CHILE,PUNTAARENAS,PUERTODEHAMBRE,hightide,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CHILE,PUNTAARENAS,PUERTODEHAMBRE,hightide,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CHILE,PUNTAARENAS,PUERTODEHAMBRE,hightide,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CHILE,PUNTAARENAS,PUERTODEHAMBRE,hightide,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CHILE,PUNTAARENAS,PUERTODEHAMBRE,hightide,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CHILE,PUNTAARENAS,PUERTODEHAMBRE,hightide,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CHILE,PUNTAARENAS,PUERTODEHAMBRE,hightide,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CHILE,PUNTAARENAS,PUERTODEHAMBRE,hightide,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,CHILE,PUNTAARENAS,PUERTODEHAMBRE,hightide,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CHILE,PUNTAARENAS,PUERTODEHAMBRE,lowtide,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CHILE,PUNTAARENAS,PUERTODEHAMBRE,lowtide,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,CHILE,PUNTAARENAS,PUERTODEHAMBRE,lowtide,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,CHILE,PUNTAARENAS,PUERTODEHAMBRE,lowtide,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,CHILE,PUNTAARENAS,PUERTODEHAMBRE,lowtide,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,CHILE,PUNTAARENAS,PUERTODEHAMBRE,lowtide,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,CHILE,PUNTAARENAS,PUERTODEHAMBRE,lowtide,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
18,CHILE,PUNTAARENAS,PUERTODEHAMBRE,lowtide,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
19,CHILE,PUNTAARENAS,PUERTODEHAMBRE,lowtide,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
20,CHILE,PUNTAARENAS,PUERTODEHAMBRE,lowtide,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,CHILE,PUNTAARENAS,PUERTODEHAMBRE,midtide,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,CHILE,PUNTAARENAS,PUERTODEHAMBRE,midtide,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
23,CHILE,PUNTAARENAS,PUERTODEHAMBRE,midtide,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,CHILE,PUNTAARENAS,PUERTODEHAMBRE,midtide,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,CHILE,PUNTAARENAS,PUERTODEHAMBRE,midtide,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
26,CHILE,PUNTAARENAS,PUERTODEHAMBRE,midtide,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,CHILE,PUNTAARENAS,PUERTODEHAMBRE,midtide,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,CHILE,PUNTAARENAS,PUERTODEHAMBRE,midtide,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
29,CHILE,PUNTAARENAS,PUERTODEHAMBRE,midtide,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
30,CHILE,PUNTAARENAS,PUERTODEHAMBRE,midtide,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
